grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The work done on an object by the force of gravity depends on ______ taken to get from one position to another.",path,N,height,Y,circle,N,"None of these",N,"Correct answer is ""height"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","Work done by gravity for horizontal displacement is ______ as force and displacement are at right angle.",Infinite,N,maximum,N,zero,Y,"None of these",N,"Correct answer is ""zero"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","Gravity is a _________ force.",variable,N,constant,N,negligible,Y,"None of these",N,"Correct answer is ""negligible"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The work done by the force of gravity on a satellite moving around the earth is ______.",zero,Y,maximum,N,positive,N,negative,N,"Correct answer is ""zero"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","What is the work done by the force of gravity when a stone of mass 250 g is thrown up through a height of 2.5 m?","- 6.125 J",Y,"6.125 J",N,"5 J",N,"7 J",N,"Correct answer is ""- 6.125 J"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The work done by gravity is ","\(W = F \times d\)",N,"\(W = \text{mgh}\)",Y,"\(W = \text{mg}\)",N,"\(W = \ \int_{}^{}{F.d}\)",N,"Correct answer is ""\(W = \text{mgh}\)"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The amount of work required to stop a moving object is equal to the?","Velocity of the object",N,"Kinetic energy of the object",Y,"Mass of the object times its acceleration",N,"Mass of the object times its velocity",N,"Correct answer is ""Kinetic energy of the object"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","One ______ equals the amount of work that is done when 1 N of force moves an object over a distance of 1 m.",kg,N,joule,Y,second,N,pascal,N,"Correct answer is ""joule"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","Placing a suitcase on a luggage rack involves doing work against ","potential energy",N,"frictional force",N,gravity,Y,"none of these",N,"Correct answer is ""gravity"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The work done by gravitational force is ______ as gravitational force acts in downward direction and body displaces in opposite direction upward.",zero,N,negative,Y,positive,N,"none of these",N,"Correct answer is ""negative"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","Out of the following which quantity does not depend on path?",Temperature,Y,Energy,N,Work,N,"None of these",N,"Correct answer is ""Temperature"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","A _______ is a property whose value does not depend on the path taken to reach that specific value.","dynamic function",N,"state function",Y,"path function",N,"none of these",N,"Correct answer is ""state function"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","Work is a path dependent quantity. It is known as a ________ function.","dynamic function",N,"state function",N,"path function",Y,"none of these",N,"Correct answer is ""path function"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","For ______________ force work done is independent of path.",conservative,Y,non-conservative,N,"both a and b",N,"none of these",N,"Correct answer is ""conservative"""
